Connecting to host 10.54.192.7, port 5201
[  5] local 10.44.64.6 port 48838 connected to 10.54.192.7 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   248 KBytes  2.03 Mbits/sec    0   5.62 KBytes       
[  5]   1.00-2.00   sec   264 KBytes  2.17 Mbits/sec    0   5.62 KBytes       
[  5]   2.00-3.00   sec   280 KBytes  2.30 Mbits/sec    0   5.62 KBytes       
[  5]   3.00-4.00   sec   281 KBytes  2.30 Mbits/sec    0   5.62 KBytes       
[  5]   4.00-5.00   sec   273 KBytes  2.23 Mbits/sec    0   5.62 KBytes       
[  5]   5.00-6.00   sec   256 KBytes  2.10 Mbits/sec    0   5.62 KBytes       
[  5]   6.00-7.00   sec   264 KBytes  2.16 Mbits/sec    0   5.62 KBytes       
[  5]   7.00-8.00   sec   260 KBytes  2.13 Mbits/sec    0   5.62 KBytes       
[  5]   8.00-9.00   sec   264 KBytes  2.16 Mbits/sec    0   5.62 KBytes       
[  5]   9.00-10.00  sec   278 KBytes  2.28 Mbits/sec    0   5.62 KBytes       
[  5]  10.00-11.00  sec   287 KBytes  2.36 Mbits/sec    0   5.62 KBytes       
[  5]  11.00-12.00  sec   281 KBytes  2.30 Mbits/sec    0   5.62 KBytes       
[  5]  12.00-13.00  sec   278 KBytes  2.28 Mbits/sec    0   5.62 KBytes       
[  5]  13.00-14.00  sec   290 KBytes  2.37 Mbits/sec    0   5.62 KBytes       
[  5]  14.00-15.00  sec   291 KBytes  2.38 Mbits/sec    0   5.62 KBytes       
[  5]  15.00-16.00  sec   296 KBytes  2.42 Mbits/sec    0   5.62 KBytes       
[  5]  16.00-17.00  sec   272 KBytes  2.23 Mbits/sec    0   5.62 KBytes       
[  5]  17.00-18.00  sec   280 KBytes  2.29 Mbits/sec    0   5.62 KBytes       
[  5]  18.00-19.00  sec   283 KBytes  2.32 Mbits/sec    0   5.62 KBytes       
[  5]  19.00-20.00  sec   296 KBytes  2.43 Mbits/sec    0   5.62 KBytes       
[  5]  20.00-21.00  sec   296 KBytes  2.42 Mbits/sec    0   5.62 KBytes       
[  5]  21.00-22.00  sec   281 KBytes  2.30 Mbits/sec    0   5.62 KBytes       
[  5]  22.00-23.00  sec   284 KBytes  2.33 Mbits/sec    0   5.62 KBytes       
[  5]  23.00-24.00  sec   289 KBytes  2.37 Mbits/sec    0   5.62 KBytes       
[  5]  24.00-25.00  sec   281 KBytes  2.30 Mbits/sec    0   5.62 KBytes       
[  5]  25.00-26.00  sec   283 KBytes  2.32 Mbits/sec    0   5.62 KBytes       
[  5]  26.00-27.00  sec   290 KBytes  2.37 Mbits/sec    0   5.62 KBytes       
[  5]  27.00-28.00  sec   286 KBytes  2.34 Mbits/sec    0   5.62 KBytes       
[  5]  28.00-29.00  sec   285 KBytes  2.33 Mbits/sec    0   5.62 KBytes       
[  5]  29.00-30.00  sec   297 KBytes  2.43 Mbits/sec    0   5.62 KBytes       
[  5]  30.00-31.00  sec   289 KBytes  2.37 Mbits/sec    0   5.62 KBytes       
[  5]  31.00-32.00  sec   287 KBytes  2.35 Mbits/sec    0   5.62 KBytes       
[  5]  32.00-33.00  sec   285 KBytes  2.34 Mbits/sec    0   5.62 KBytes       
[  5]  33.00-34.00  sec   284 KBytes  2.32 Mbits/sec    0   5.62 KBytes       
[  5]  34.00-35.00  sec   304 KBytes  2.49 Mbits/sec    0   5.62 KBytes       
[  5]  35.00-36.00  sec   283 KBytes  2.32 Mbits/sec    0   5.62 KBytes       
[  5]  36.00-37.00  sec   280 KBytes  2.29 Mbits/sec    0   5.62 KBytes       
